Date_x,Cases/100k_VENUSTIANO CARRANZA,PM10,Date_x,Cases/100k_VENUSTIANO CARRANZA_GF,cases2,PM10_fg,PM10_sd,pm_1,pm_2,pm_3,pm_4,cases_wo,PM10_wo,cases_wo_original,PM10_wo_original
01 01 2015,9.361915261,96.18181818,01 01 2015,7.766410852,-1.308865968,43.47246358,-29.17699892,7.845662808,42.31438587,8.065865086,47.00488219,8.065865086,47.00488219,9.361915261,96.18181818
01 02 2015,9.127867379,40.69565217,01 02 2015,8.905077201,-0.093455319,49.787975,5.493837501,8.244911715,46.70776071,8.107799779,52.48939821,8.107799779,52.48939821,9.127867379,40.69565217
01 03 2015,10.29810679,29.08695652,01 03 2015,8.734877581,-2.507003884,26.9264875,62.498175,8.107020734,51.9925,7.953177718,59.67989821,7.953177718,59.67989821,10.29810679,29.08695652
01 04 2015,8.425723735,48.70833333,01 04 2015,8.471222643,3.70163108,9.5588375,-46.83717499,7.971466888,58.76793393,7.981209967,66.08552202,7.981209967,66.08552202,8.425723735,48.70833333
01 05 2015,7.489532208,41.33333333,01 05 2015,5.700563821,1.147443144,54.6893625,7.506799992,7.781045532,68.27926071,8.123584637,71.49096905,8.123584637,71.49096905,7.489532208,41.33333333
01 06 2015,9.127867379,54.04166667,01 06 2015,6.631536079,-0.227213685,52.9827125,9.643075006,8.191117481,71.20937143,8.308428967,73.92799286,8.308428967,73.92799286,9.127867379,54.04166667
01 07 2015,8.659771616,26.875,01 07 2015,8.709951481,-4.472514584,58.7828625,-2.888162501,8.398590898,74.984275,8.288404499,75.12252679,8.288404499,75.12252679,8.659771616,26.875
01 08 2015,8.893819498,,01 08 2015,10.5611532,2.467473195,74.2260875,-24.9816875,8.335578521,75.59033214,8.29211583,75.00331352,8.29211583,75.00331352,8.893819498,51.8
01 09 2015,5.149053393,62.58333333,01 09 2015,7.939840332,-0.493887841,86.78115,14.210225,8.131044078,74.79297322,8.391917191,74.53690477,8.391917191,74.53690477,5.149053393,62.58333333
01 10 2015,6.553340682,51.04166667,01 10 2015,7.78600066,2.080521834,74.354525,-2.721587496,8.409724891,74.62663521,8.624132812,73.33094533,8.624132812,73.33094533,6.553340682,51.04166667
01 11 2015,8.659771616,57.70833333,01 11 2015,7.138273148,-1.920011796,76.138125,5.144887498,8.634982603,74.19110587,8.676549506,71.47683619,8.676549506,71.47683619,8.659771616,57.70833333
01 12 2015,11.23429831,74.25,01 12 2015,8.571067469,0.672232325,75.2001375,-20.588675,8.827690941,71.1750949,8.645568254,69.56719828,8.645568254,69.56719828,11.23429831,74.25
01 13 2015,7.489532208,90.5,01 13 2015,8.083849994,0.675532401,79.4070375,22.0010875,8.566974975,69.0643078,8.574668463,68.81682415,8.574668463,68.81682415,7.489532208,90.5
01 14 2015,7.957627972,71.79166667,01 14 2015,8.268864844,-0.099353323,63.0252625,11.35289642,8.542038845,68.46219215,8.505824951,68.36855198,8.505824951,68.36855198,7.957627972,71.79166667
01 15 2015,6.787388564,77,01 15 2015,9.129412096,-1.288995309,68.644575,-31.28317321,8.61499157,68.9239725,8.350922032,67.24702844,8.350922032,67.24702844,6.787388564,77
01 16 2015,8.893819498,73.91666667,01 16 2015,9.890606024,-0.347771745,85.61678393,-1.968807138,8.360444438,67.71949129,8.106947177,65.46301052,8.106947177,65.46301052,8.893819498,73.91666667
01 17 2015,7.957627972,82.79166667,01 17 2015,9.362804643,-0.865602684,71.30581964,21.67835101,8.077330089,65.09762154,7.808686587,64.11860606,7.808686587,64.11860606,7.957627972,82.79166667
01 18 2015,8.191675853,59.79166667,01 18 2015,8.487231518,2.904417186,55.02604822,9.369020572,7.883067004,63.57191873,7.621297822,63.79845627,7.621297822,63.79845627,8.191675853,59.79166667
01 19 2015,9.127867379,66.91666667,01 19 2015,6.746055708,-0.293004544,60.4246278,-23.70210311,7.465662668,63.68627792,7.435985397,63.12339299,7.435985397,63.12339299,9.127867379,66.91666667
01 20 2015,10.06405891,90.08333333,01 20 2015,7.909297084,-2.302188582,75.19222795,2.889984477,7.515163795,64.13717216,7.304002453,61.22951912,7.304002453,61.22951912,10.06405891,90.08333333
01 21 2015,9.361915261,71.33333333,01 21 2015,8.779533917,1.993175165,66.257725,13.09500761,7.327129727,61.54672888,6.969006376,58.51920108,6.969006376,58.51920108,9.361915261,71.33333333
01 22 2015,8.659771616,52.23809524,01 22 2015,7.347582168,-0.467065953,60.21320652,-13.68828479,7.069713836,58.00465632,6.702031301,55.24749974,6.702031301,55.24749974,8.659771616,52.23809524
01 23 2015,6.319292801,59.04166667,01 23 2015,7.908805584,-2.531719339,67.26369565,1.838458158,6.510175566,56.00621805,6.479769403,52.70502418,6.479769403,52.70502418,6.319292801,59.04166667
01 24 2015,7.957627972,78.66666667,01 24 2015,8.002963047,3.964724303,60.6259,12.5536625,6.526204502,51.73162484,6.353259836,50.90343249,6.353259836,50.90343249,7.957627972,78.66666667
01 25 2015,9.127867379,65.65217391,01 25 2015,5.56540117,-2.026667415,55.8265625,-14.2760875,6.40292814,50.37722966,6.156917068,50.31979507,6.156917068,50.31979507,9.127867379,65.65217391
01 26 2015,7.021436445,58.20833333,01 26 2015,7.092563596,0.884069063,63.5808875,-9.074145452,6.130646865,50.60144296,5.983457496,50.60185792,5.983457496,50.60185792,7.021436445,58.20833333
01 27 2015,7.957627972,69.41666667,01 27 2015,6.593058608,-3.93137248,57.059125,20.35682954,5.937176199,49.9807126,5.911678354,52.41030126,5.911678354,52.41030126,7.957627972,69.41666667
01 28 2015,8.425723735,60.33333333,01 28 2015,6.977622682,8.137002268,41.46321705,-13.64351705,5.882549423,51.22341819,6.116423441,55.39013859,6.116423441,55.39013859,8.425723735,60.33333333
01 29 2015,4.915005512,53.875,01 29 2015,3.430814276,-5.471173493,46.22413864,22.68618602,5.91530944,56.02677298,6.330440167,59.33396095,6.330440167,59.33396095,4.915005512,53.875
01 30 2015,7.489532208,65.58333333,01 30 2015,8.021008138,-2.599616629,37.34154318,-7.552668673,6.551411459,58.9202246,6.510864336,62.44725752,6.510864336,62.44725752,7.489532208,65.58333333
01 31 2015,6.319292801,58.45833333,01 31 2015,7.140028507,5.559432949,51.14513374,-4.411202523,6.524599603,63.05488528,6.53110279,63.80713007,6.53110279,63.80713007,6.319292801,58.45833333
02 01 2015,7.72358009,38.125,02 01 2015,3.659432246,-1.606434444,57.39605563,4.682569764,6.456581945,65.36666268,6.521155755,64.29036393,6.521155755,64.29036393,7.72358009,38.125
02 02 2015,2.106430934,49,02 02 2015,5.738268935,0.523869374,59.235775,2.806347288,6.612126823,62.99984224,6.492210719,64.14284573,6.492210719,64.14284573,2.106430934,49
02 03 2015,8.893819498,33.68181818,02 03 2015,6.210671179,-0.319686001,65.75806413,-17.93703696,6.494758498,64.50458688,6.350772241,63.95313789,6.350772241,63.95313789,8.893819498,33.68181818
02 04 2015,7.489532208,52.58333333,02 04 2015,7.206942796,-0.726788887,75.08670055,8.414268481,6.369746837,64.92410808,6.338956167,62.545011,6.338956167,62.545011,7.489532208,52.58333333
02 05 2015,2.808574578,57.875,02 05 2015,7.883528413,-1.11921697,66.4783,1.237539672,6.187811388,62.43071871,6.411748402,59.43645179,6.411748402,59.43645179,2.808574578,57.875
02 06 2015,6.085244919,58.60869565,02 06 2015,7.833325142,-0.746238265,66.28416793,-27.54267065,6.459310275,60.28020621,6.591751284,56.10428471,6.591751284,56.10428471,6.085244919,58.60869565
02 07 2015,6.085244919,65.08333333,02 07 2015,6.663904902,2.084102766,67.32757554,55.43993804,6.588123542,55.59843044,6.825414658,53.98966812,6.825414658,53.98966812,6.085244919,65.08333333
02 08 2015,7.255484327,77.79166667,02 08 2015,4.748246396,0.250454638,40.8283125,-30.01495,6.727820035,52.43421747,7.182033415,52.51949643,7.182033415,52.51949643,7.255484327,77.79166667
02 09 2015,7.957627972,65.04347826,02 09 2015,4.916690657,0.178906201,69.7689875,-9.987462496,7.160300397,53.93635645,7.627169081,51.08308504,7.627169081,51.08308504,7.957627972,65.04347826
02 10 2015,7.957627972,65.625,02 10 2015,5.335589555,3.252820863,68.6947125,4.853474996,7.657979813,51.18791537,7.831232085,48.54719013,7.831232085,48.54719013,7.957627972,65.625
02 11 2015,6.787388564,72.33333333,02 11 2015,5.933394654,-4.899628568,57.632975,-11.7047125,8.063227032,48.1249833,7.760178492,46.55650868,7.760178492,46.55650868,6.787388564,72.33333333
02 12 2015,4.446909749,31.91666667,02 12 2015,9.784020616,-0.044235049,51.4247125,29.57932228,7.77248941,46.32867172,7.371043797,46.50263875,7.371043797,46.50263875,4.446909749,31.91666667
02 13 2015,4.915005512,74.91666667,02 13 2015,8.73501801,1.227066234,33.5117375,-5.501146745,7.444819033,45.21587101,7.117312489,47.0898,7.117312489,47.0898,4.915005512,74.91666667
02 14 2015,5.383101275,69.5,02 14 2015,7.641780355,0.491009051,45.17808478,-6.97858586,6.895822948,47.96337351,6.859903285,47.60822468,6.859903285,47.60822468,5.383101275,69.5
02 15 2015,5.383101275,56.54166667,02 15 2015,7.775608934,-0.8529641,51.34328532,-2.462326722,7.011295485,48.09015547,6.682204103,46.79044762,6.682204103,46.79044762,5.383101275,56.54166667
02 16 2015,10.53215467,53.75,02 16 2015,8.400446564,-4.045962323,50.5299,1.080318073,6.672591422,46.77114507,6.342741055,45.86860433,6.342741055,45.86860433,10.53215467,53.75
02 17 2015,8.659771616,29,02 17 2015,8.172320094,7.866185464,47.25418796,0.771707476,6.362725401,45.51004233,6.216843356,45.82748133,6.216843356,45.82748133,8.659771616,29
02 18 2015,7.489532208,46.41666667,02 18 2015,3.8982313,-6.190379228,45.05879399,10.53283404,5.992906343,45.32462559,6.133348446,47.40860742,6.133348446,47.40860742,7.489532208,46.41666667
02 19 2015,7.72358009,52.08333333,02 19 2015,7.490327971,6.156325261,43.6351075,-15.78784412,6.294898324,46.64777606,6.288137684,50.15604881,6.288137684,50.15604881,7.72358009,52.08333333
02 20 2015,8.425723735,50.7826087,02 20 2015,4.892045414,-6.603450334,52.74425504,2.723350613,6.112240671,50.25342061,6.361033569,53.90214175,6.361033569,53.90214175,8.425723735,50.7826087
02 21 2015,8.893819498,47.04166667,02 21 2015,8.450088119,3.872111557,46.06555846,3.547314295,6.457274057,53.56694976,6.694120483,57.7872259,6.694120483,57.7872259,8.893819498,47.04166667
02 22 2015,2.574526697,45.20833333,02 22 2015,5.404680489,-1.474501653,42.1102125,4.662121666,6.513585978,57.88605488,6.945902507,61.61398399,6.945902507,61.61398399,2.574526697,45.20833333
02 23 2015,8.659771616,41.84210526,02 23 2015,6.231384416,1.076386206,41.70218083,4.110486445,7.111501414,61.90867306,7.170959607,64.28412152,7.170959607,64.28412152,8.659771616,41.84210526
02 24 2015,3.744766104,55.20833333,02 24 2015,5.58358669,-0.229039256,45.95627083,6.189195606,7.21262013,65.04722402,7.258068885,65.06958466,7.258068885,65.06958466,3.744766104,55.20833333
02 25 2015,9.595963142,45.4,02 25 2015,6.01217517,0.896005505,54.32084727,-7.489432278,7.188757277,65.89646747,7.332506142,63.68729717,7.332506142,63.68729717,9.595963142,45.4
02 26 2015,4.68095763,41.77777778,02 26 2015,6.211724394,0.44143771,68.87461932,-6.704004544,7.372829248,64.2650625,7.363246659,60.44006975,7.363246659,60.44006975,4.68095763,41.77777778
02 27 2015,6.553340682,41.15,02 27 2015,7.307279123,-0.791175456,75.93895909,-6.391089768,7.435931901,60.90036153,7.191131191,55.29575291,7.191131191,55.29575291,6.553340682,41.15
02 28 2015,5.383101275,45.58333333,02 28 2015,8.844271562,-3.396690101,76.29929432,-0.565747727,7.280978829,56.15478523,6.987492816,48.80401022,6.987492816,48.80401022,5.383101275,45.58333333
03 01 2015,6.085244919,53.375,03 01 2015,9.590088544,1.128204411,70.26853977,-5.174560232,6.856482843,48.83211197,6.714592986,41.69623285,6.714592986,41.69623285,6.085244919,53.375
03 02 2015,6.085244919,69.91666667,03 02 2015,6.939215425,3.406800964,63.6720375,2.771100004,6.825016776,41.42513347,6.603788031,35.70815383,6.603788031,35.70815383,6.085244919,69.91666667
03 03 2015,7.255484327,76.59090909,03 03 2015,5.416546717,-2.531368267,51.900975,11.4206625,6.462279339,34.83145311,6.417174968,31.56166082,6.417174968,31.56166082,7.255484327,76.59090909
03 04 2015,8.893819498,77.08333333,03 04 2015,7.300678973,0.216400672,42.9010125,-5.0224875,6.524067979,30.86787492,6.411865425,28.85145531,6.411865425,28.85145531,8.893819498,77.08333333
03 05 2015,10.06405891,70.125,03 05 2015,6.653442961,0.081027376,45.3217125,-15.07755598,6.265177587,28.98565443,6.302458071,27.28557109,6.302458071,27.28557109,10.06405891,70.125
03 06 2015,6.787388564,64.41666667,03 06 2015,6.222607621,3.846834386,42.719925,11.05845217,6.446350709,26.70083657,6.245440664,26.89866542,6.245440664,26.89866542,6.787388564,64.41666667
03 07 2015,4.915005512,51.625,03 07 2015,5.872799657,-8.466799138,25.04058152,5.717476089,6.195845918,26.17022228,5.918301909,28.40254832,5.918301909,28.40254832,4.915005512,51.625
03 08 2015,7.72358009,41.29166667,03 08 2015,9.369826079,6.418786556,18.41969022,7.543067938,6.094125365,27.82493742,5.699233092,31.73789161,5.699233092,31.73789161,7.72358009,41.29166667
03 09 2015,6.553340682,45.91666667,03 09 2015,4.400053363,-1.809634815,17.516275,-1.070111417,5.464934445,31.21248525,5.467294985,35.52020937,5.467294985,35.52020937,6.553340682,45.91666667
03 10 2015,6.319292801,44.91666667,03 10 2015,5.849067202,2.793829562,24.15592772,-5.967022822,5.538639466,36.17625217,5.410952973,38.53323825,5.410952973,38.53323825,6.319292801,44.91666667
03 11 2015,5.149053393,23.29166667,03 11 2015,5.488446227,-5.885789315,29.72546902,10.07511902,5.398311044,39.17189068,5.25512055,40.44019826,5.25512055,40.44019826,5.149053393,23.29166667
03 12 2015,10.76620255,18,03 12 2015,7.921654812,4.144262434,29.3279875,-12.059675,5.295908409,40.25157189,5.111903308,41.10103263,5.111903308,41.10103263,10.76620255,18
03 13 2015,3.276670341,16.52173913,03 13 2015,4.469074083,-0.886947852,39.005625,7.890975,5.071142197,41.89713222,4.946642098,41.21227604,4.946642098,41.21227604,3.276670341,16.52173913
03 14 2015,6.319292801,24.29166667,03 14 2015,5.160755788,0.145765021,36.6235875,4.621180981,4.968659317,41.15439379,4.843958606,40.27421154,4.843958606,40.27421154,6.319292801,24.29166667
03 15 2015,4.915005512,30.75,03 15 2015,4.96548964,0.000280857,42.132525,-17.26736467,4.800124781,40.5853021,4.796978509,39.02722684,4.796978509,39.02722684,4.915005512,30.75
03 16 2015,8.893819498,27.54166667,03 16 2015,4.915988513,-0.045920194,52.26264348,-0.704913589,4.763091719,39.08293874,4.786967946,37.25213504,4.786967946,37.25213504,8.893819498,27.54166667
03 17 2015,3.744766104,41.04166667,03 17 2015,4.866768244,1.671804017,45.12539728,11.40583207,4.827719026,37.41343967,4.802552192,35.53571356,4.802552192,35.53571356,3.744766104,41.04166667
03 18 2015,5.383101275,35.375,03 18 2015,4.77162778,-4.173260965,37.2832375,-10.60412609,4.770093094,35.26002671,4.728853857,34.13699011,4.728853857,34.13699011,5.383101275,35.375
03 19 2015,4.915005512,41.33333333,03 19 2015,6.348291333,2.825917526,40.84690978,5.873943485,4.809844455,33.9336743,4.666831169,34.15581118,4.666831169,34.15581118,4.915005512,41.33333333
03 20 2015,4.915005512,54.70833333,03 20 2015,3.751693921,0.495924055,33.80645598,0.142546196,4.606624023,33.21726933,4.682281672,35.70611421,4.682281672,35.70611421,4.915005512,54.70833333
03 21 2015,4.915005512,45.125,03 21 2015,3.981014036,-0.063122713,32.63994565,9.984132602,4.584025028,35.31648991,4.865450888,38.60871501,4.865450888,38.60871501,4.915005512,45.125
03 22 2015,4.446909749,35.47826087,03 22 2015,4.706258206,-1.5671144,31.61598152,-19.48481195,4.856195966,38.58458338,5.01188796,40.87528693,5.01188796,40.87528693,4.446909749,35.47826087
03 23 2015,7.021436445,42.66666667,03 23 2015,5.368379663,1.49149353,40.57615,8.471907609,5.15613167,41.92507174,5.024239001,42.17081726,5.024239001,42.17081726,7.021436445,42.66666667
03 24 2015,3.276670341,32.70833333,03 24 2015,4.463386719,-0.710639583,30.05150652,9.886040211,5.023336245,42.11620567,4.914818273,42.90710525,4.914818273,42.90710525,3.276670341,32.70833333
03 25 2015,3.978813986,33,03 25 2015,5.049887306,-1.208108354,27.99877065,4.835620658,4.893249089,42.47117438,4.804936136,44.33230336,4.804936136,44.33230336,3.978813986,33
03 26 2015,4.68095763,29.79166667,03 26 2015,4.925748309,3.624956993,35.832075,-5.653325003,4.827869485,44.13393571,4.874618878,45.98057976,4.874618878,45.98057976,4.68095763,29.79166667
03 27 2015,5.617149156,43.65217391,03 27 2015,3.593500959,-1.373112111,48.501,-7.532799994,4.693689835,46.3918,5.064909836,47.35802976,5.064909836,47.35802976,5.617149156,43.65217391
03 28 2015,4.212861867,28.625,03 28 2015,5.886210601,-3.286593972,55.5166,-12.56811251,5.102297314,47.41600357,5.209765414,48.62216369,5.209765414,48.62216369,4.212861867,28.625
03 29 2015,5.149053393,26.91666667,03 29 2015,6.805808132,1.480961375,54.9994,3.707512508,5.39874236,48.26628571,5.287867192,50.79311547,5.287867192,50.79311547,5.149053393,26.91666667
03 30 2015,5.149053393,35.20833333,03 30 2015,4.438811692,1.925488517,41.9140875,16.47961249,5.128256567,50.18420178,5.324020902,54.28409821,5.324020902,54.28409821,5.149053393,35.20833333
03 31 2015,3.04262246,49.25,03 31 2015,3.552776627,-1.645192774,32.5362875,4.897212505,5.336602648,53.92885893,5.480936633,57.7398375,5.480936633,57.7398375,3.04262246,49.25
04 01 2015,6.085244919,56.20833333,04 01 2015,4.592230079,3.073001874,39.6381,-7.965724995,5.507203492,58.73923393,5.616219652,60.29646964,5.616219652,60.29646964,6.085244919,56.20833333
04 02 2015,7.255484327,56.66666667,04 02 2015,3.986490756,-0.959689933,51.637125,1.764849991,5.599003758,60.55141964,5.630172249,61.32103988,5.630172249,61.32103988,7.255484327,56.66666667
04 03 2015,4.212861867,41.45833333,04 03 2015,6.453753309,-4.556490967,55.670425,1.158087505,5.742451705,61.59875536,5.466158181,61.8161881,5.466158181,61.8161881,4.212861867,41.45833333
04 04 2015,3.276670341,30.41666667,04 04 2015,7.961325928,4.033745024,61.468575,-7.254362495,5.549061284,61.81294464,5.236517087,61.51815432,5.236517087,61.51815432,3.276670341,30.41666667
04 05 2015,4.915005512,39.08333333,04 05 2015,4.91240758,-2.135078394,68.4248125,-1.619650005,5.106961554,62.03686429,5.084773814,61.21703401,5.084773814,61.21703401,4.915005512,39.08333333
04 06 2015,3.510718223,52.83333333,04 06 2015,5.897234256,1.638101123,68.1266875,-11.9677375,5.053528422,60.70465404,5.107168853,60.4292281,5.107168853,60.4292281,3.510718223,52.83333333
04 07 2015,6.553340682,55.29166667,04 07 2015,4.746982538,-0.732054964,66.2089125,20.5305875,5.093831467,60.9095837,5.086766565,59.79479382,5.086766565,59.79479382,6.553340682,55.29166667
04 08 2015,8.659771616,61.20833333,04 08 2015,5.234831942,0.353599539,52.3234,-8.443799999,5.17414667,59.67344655,5.088023737,58.72311993,5.088023737,58.72311993,8.659771616,61.20833333
