date,O3_AO,PM10_AO,O3_AZ,PM10_AZ,O3_BJ,PM10_BJ,O3_CY,PM10_CY,O3_CJ,PM10_CJ,O3_CH,PM10_CH,O3_IC,PM10_IC,O3_IZ,PM10_IZ,O3_MH,PM10_MH,O3_MA,PM10_MA,O3_TL,PM10_TL,O3_VC,PM10_VC,O3_XO,PM10_XO
01/01/2014,25.94736842,91.20833333,19.83333333,86.875,,,19,0,26.4375,76.625,,85.25,20.69565217,89.34782609,26.45454545,95.5,,,,,20.45833333,83.29166667,18.79166667,90.20833333,22.54166667,83.91304348
02/01/2014,15.25,43.27272727,10.875,43.70833333,,,12.3125,0,19.10416667,35.60416667,12.9,44.29166667,11.79166667,40,15.625,49.875,,,,,14.89583333,35.25,12.75,53.5,19,52.5625
03/01/2014,17.25,29.85714286,14.08333333,35.26086957,,,17.5,0,16.64583333,28.0625,12.875,35,16.875,25.70833333,22,45,,,,,18.0625,31.9047619,15.08333333,41.125,24.54166667,36.05882353
04/01/2014,26.29166667,33,19.08333333,47.25,,,23.16666667,0,24.33333333,27.45833333,21.5,48.20833333,23.95833333,42.54166667,29.83333333,59.125,,,,,26.02083333,34.95833333,22.02083333,63.66666667,28.04166667,43.09090909
05/01/2014,31.16666667,40.54166667,26.08333333,45.79166667,,,27.3125,0,35.3125,31.625,27.16666667,52.41666667,28.83333333,45.70833333,34.95238095,61.80952381,,,,,29.60416667,43,29.08333333,63.91666667,29.30434783,39.71428571
06/01/2014,22.95833333,45.56521739,20.66666667,51.875,,,22.35416667,0,28.4375,38.97916667,20.75,47.58333333,22.5,42,22.89473684,51.73684211,,,,,23.16666667,40.45833333,20.45833333,59.45833333,25.875,48.66666667
07/01/2014,16.08695652,74.81818182,11.08333333,83.29166667,,,16.875,0,15.58333333,66.41666667,12.82608696,71.66666667,15.20833333,52.16666667,21.41666667,60.125,,,,,16.1875,53.5,15.25,73.95833333,24.54166667,53.20833333
08/01/2014,22.78947368,60.91666667,18.375,78.79166667,,,20.29166667,5e-324,25.125,45.95833333,20.68421053,84.79166667,19.875,67.625,25.41666667,82.875,,,,,23.3125,54.29166667,20.08333333,90.95833333,27.04761905,58.59090909
09/01/2014,24.16666667,36.04166667,15.25,48.125,,,22.75,0,24.52083333,27.70833333,15.41666667,49.95833333,18.25,44.04166667,21.91304348,56.08695652,,,,,24.5,39.79166667,17.54166667,58.08333333,29.08333333,38.875
10/01/2014,14.45833333,38.09090909,10.875,58.16666667,,,16,0,18.02083333,25.29166667,8.857142857,53.52631579,14.45833333,48,18.58333333,52.41666667,,,,,16.125,40.5,12.16666667,61.45833333,25.60869565,39.58333333
11/01/2014,20.625,31.125,15.04166667,44.20833333,,,19.10416667,0,23.875,30.04166667,15.83333333,50.58333333,17.54166667,41.5,18.5,46,,,,,21.08333333,35.41666667,16.45833333,60.58333333,23.04166667,48.25
12/01/2014,19.70833333,26.13636364,19.58333333,34.54166667,,,22.85416667,0,27.54166667,21.91666667,20.125,35.83333333,20.75,36.66666667,22.76190476,38.57142857,,,,,23,37.04166667,18.39583333,40.125,27.625,33.54166667
13/01/2014,22,45,17.83333333,51.66666667,,,22.1875,0,30.16666667,38.54166667,18.41666667,54.58333333,22.66666667,42.91666667,26.125,51.83333333,,,,,23.81818182,45.5,22.45833333,57.79166667,30.83333333,48.66666667
14/01/2014,21.7,45.13043478,21.45833333,46.16666667,,,22.83333333,0,25.10416667,41.02083333,22.60869565,45.58333333,22.83333333,33.95833333,25.125,41.79166667,,,,,19.42857143,35.33333333,23.08333333,48.33333333,30.04166667,36.625
15/01/2014,23.94736842,44.33333333,17.41666667,39.5,,,20.83333333,0,28.5625,37.60416667,21.05263158,40.66666667,17.30434783,35.60869565,20.66666667,50.81818182,,,,,24.25,32.875,20.47916667,43.66666667,18.61904762,37.66666667
16/01/2014,14.41666667,62.625,13.625,74.70833333,,,15.91666667,5e-324,19.52083333,59.41666667,,66.04166667,17.66666667,52.375,15.15,81.29166667,,,,,19.79166667,67.66666667,17.27083333,71.66666667,30.875,58.58333333
