DELEGACIÓN,ABREV,POBLACIÓN,SUPERFICIE (KM2),DENSIDAD (HAB7KM2)
ÁLVARO OBREGÓN,AO,749982,96.17,7799
AZCAPOTZALCO,AZC,400161,33.66,11888
BENITO JUÁREZ,BJ,417416,26.63,15675
COYOACÁN,COY,608479,54.4,11185
CUAJIMALPA DE MORELOS,CUAJ,199224,74.58,2671
CUAUHTÉMOC,CUAH,532553,32.4,16437
GUSTAVO A. MADERO,GAM,1164477,94.07,12379
IZTACALCO,IZC,390348,23.3,16753
IZTAPALAPA,IZT,1827868,117,15623
LA MAGDALENA CONTRERAS,MC,243886,74.58,3270
MIGUEL HIDALGO,MH,364439,46.99,7756
MILPA ALTA,MA,137927,228.41,604
TLÁHUAC,TH,361593,85.34,4237
TLALPAN,TL,677104,312,2170
VENUSTIANO CARRANZA,VC,427263,33.4,12792
XOCHIMILCO,XOCH,415933,122,3409
TOTAL,TOT,8918653,1455,6130
