_id,date,validoorig,date-insert,city,state,valororig,parametro,estacionesid,id,hora,fecha
5ca4c490e2705c19327ab175,2018-01-01T02:00:00.000Z,1,2019-04-03T14:34:56.778Z,Valle de México,Ciudad de México,0.015,O3,240,240O318010102,2,2018-01-01
5ca4c493e2705c19327af73e,2018-01-01T02:00:00.000Z,1,2019-04-03T14:34:59.238Z,Valle de México,Ciudad de México,0.013,O3,241,241O318010102,2,2018-01-01
5ca4c497e2705c19327b5e31,2018-01-01T02:00:00.000Z,1,2019-04-03T14:35:03.233Z,Valle de México,Ciudad de México,0.028,O3,242,242O318010102,2,2018-01-01
5ca4c49ee2705c19327c2604,2018-01-01T03:00:00.000Z,1,2019-04-03T14:35:10.758Z,Valle de México,Ciudad de México,0.008,O3,243,243O318010103,3,2018-01-01
5ca4c4a3e2705c19327c9494,2018-01-17T03:00:00.000Z,1,2019-04-03T14:35:15.079Z,Valle de México,Ciudad de México,0.02,O3,244,244O318011703,3,2018-01-17
5ca4c4a8e2705c19327d2aad,2018-01-23T03:00:00.000Z,1,2019-04-03T14:35:20.170Z,Valle de México,Ciudad de México,0.007,O3,245,245O318012303,3,2018-01-23
5ca4c4ade2705c19327dbff1,2018-02-13T10:00:00.000Z,1,2019-04-03T14:35:25.093Z,Valle de México,Ciudad de México,0.003,O3,246,246O318021310,10,2018-02-13
5ca4c4b0e2705c19327e1bf4,2018-01-01T02:00:00.000Z,1,2019-04-03T14:35:28.186Z,Valle de México,Ciudad de México,0.022,O3,248,248O318010102,2,2018-01-01
5ca4c4b4e2705c19327e9450,2018-01-01T02:00:00.000Z,1,2019-04-03T14:35:32.081Z,Valle de México,Ciudad de México,0.007,O3,249,249O318010102,2,2018-01-01
5ca4c4b9e2705c19327f35f1,2018-01-01T02:00:00.000Z,1,2019-04-03T14:35:37.627Z,Valle de México,Ciudad de México,0.03,O3,250,250O318010102,2,2018-01-01
5ca4c4bfe2705c19327fd20d,2018-01-01T02:00:00.000Z,1,2019-04-03T14:35:43.169Z,Valle de México,Ciudad de México,0.019,O3,251,251O318010102,2,2018-01-01
