month_and_year,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2
01 2014,0.5911516853932584,15.268258426966293,31.49438202247191,46.776685393258425,26.672316384180792,49.85654596100279,24.9066852367688,24.973537604456826,5.254213483146067
01 2015,0.4488950276243101,13.845303867403315,28.223756906077348,42.0414364640884,33.53971486761711,47.606851549755305,24.515497553017944,23.071778140293638,4.172651933701657
01 2016,0.6085348506401135,15.522727272727273,29.19034090909091,44.72301136363637,26.150568181818183,,,,3.3556280587275693
02 2014,0.5509375,11.6140625,29.7671875,41.36875,40.79375,50.74570982839314,22.882995319812792,27.847113884555384,3.2765625
02 2015,0.4148260211800304,13.91350531107739,27.921092564491655,41.8361153262519,29.942511346444782,49.71776155717762,24.418491484184916,25.313868613138688,4.375189107413011
02 2016,0.5808823529411767,10.905882352941177,31.366176470588236,42.28088235294118,39.37555228276878,,,,10.263235294117647
03 2014,0.4252440725244068,10.610878661087867,22.10041841004184,32.718270571827055,32.25174825174825,47.60956175298805,19.239043824701195,28.384462151394423,2.817294281729428
03 2015,0.39084604715672616,8.342141863699583,20.43393602225313,28.76356050069541,30.032921810699587,36.62933753943218,18.44794952681388,18.17192429022082,4.960869565217391
03 2016,0.37805280528052776,6.085808580858086,22.919141914191417,28.993399339933994,39.57230769230769,,,,2.2826446280991735
04 2014,0.4720820189274459,8.93217665615142,23.482649842271293,32.389589905362776,39.49367088607595,43.18466353677621,19.348982785602505,23.8622848200313,3.1275590551181103
04 2015,0.49715994020926796,8.222390317700453,22.526475037821484,30.720121028744327,43.19409937888199,44.1957928802589,24.734627831715212,19.48705501618123,3.0547169811320756
04 2016,0.4839820359281441,7.911544227886057,21.622188905547226,29.568215892053974,42.59612518628912,,,,2.6236749116607774
05 2014,0.5729874776386414,9.967821782178218,25.346534653465348,35.29207920792079,34.88333333333333,37.85740072202166,21.03971119133574,16.792418772563177,5.005454545454546
05 2015,0.5570839064649236,7.945868945868946,22.683760683760685,30.63817663817664,37.93698630136986,35.153094462540714,21.99185667752443,13.203583061889251,1.9278752436647173
05 2016,0.5439226519337009,6.485436893203883,22.841886269070734,29.33841886269071,50.57083906464924,,,,2.948453608247423
06 2014,0.38536585365853643,12.281853281853282,20.233590733590734,32.503861003861005,23.71641791044776,29.28423236514523,17.522821576763487,11.775933609958507,2.3936567164179103
06 2015,0.5355654761904758,8.54816513761468,22.110091743119266,30.658256880733944,33.17606837606838,38.12410841654779,23.042796005706133,15.077032810271042,3.4338028169014083
06 2016,0.4712550607287454,5.817444219066937,22.720081135902635,28.55578093306288,38.982547993019196,,,,1.9959514170040487
07 2014,0.423691460055096,12.03581267217631,20.435261707988982,32.45867768595041,25.644628099173552,28.60914454277286,16.52212389380531,12.061946902654867,2.5895316804407713
07 2015,0.5119505494505499,6.638297872340425,20.832826747720365,27.49544072948328,33.69460227272727,34.05142083897158,18.987821380243574,15.070365358592692,2.125
07 2016,0.46350364963503593,7.012605042016807,19.50560224089636,26.530812324929972,34.272346368715084,,,,1.9874125874125874
08 2014,0.4405555555555556,9.684892086330935,19.902158273381296,29.564028776978418,29.497841726618706,28.261802575107296,15.669527896995708,12.612303290414879,2.98705035971223
08 2015,0.4469387755102041,6.099861303744799,20.083217753120667,26.206657420249652,33.575589459084604,29.557377049180328,16.80327868852459,12.759562841530055,2.4466019417475726
08 2016,0.496948682385576,6.948611111111111,19.476388888888888,26.41111111111111,32.945983379501385,,,,2.3333333333333335
09 2014,,11.241630276564774,19.38282387190684,30.64919941775837,21.9453717754173,23.24793388429752,13.806611570247934,9.446280991735538,2.0274963820549927
09 2015,0.5712842712842698,8.628333333333334,23.063333333333333,31.683333333333334,30.1671469740634,31.75,17.15740740740741,14.606481481481481,2.7988338192419824
09 2016,0.4510174418604654,6.862773722627737,19.931386861313868,26.778102189781023,26.815406976744185,,,,2.875
10 2014,0.42183588317107135,10.939775910364146,22.65126050420168,33.60504201680672,22.262048192771083,34.278688524590166,19.614754098360656,14.649180327868853,4.210306406685237
10 2015,0.5332409972299178,12.220221606648199,22.059556786703602,34.28116343490305,25.60803324099723,31.169444444444444,15.997222222222222,15.161111111111111,3.3310249307479225
10 2016,0.36952908587257555,8.054242002781642,20.56050069541029,28.603616133518777,27.226388888888888,,,,3.3361111111111112
11 2014,0.5555555555555555,16.46965317919075,28.696531791907514,45.190751445086704,19.472934472934472,43.46446280991736,24.83305785123967,18.664462809917357,4.718794835007174
11 2015,0.5674050632911389,13.234285714285715,25.53857142857143,38.78857142857143,24.321428571428573,45.57238307349666,26.173719376391983,19.403118040089087,7.654285714285714
11 2016,0.5684736091298149,13.01142857142857,25.524285714285714,38.51285714285714,20.394611727416798,,,,4.344285714285714
12 2014,0.6258287292817682,14.626050420168067,30.438375350140056,45.070028011204485,23.448036951501155,51.44827586206897,29.79310344827586,21.652173913043477,5.096685082872928
12 2015,0.7483379501385036,17.38781163434903,31.491689750692522,48.89473684210526,26.6191135734072,58.08627450980392,35.043137254901964,23.0,6.7004160887656035
12 2016,0.5148876404494378,10.597183098591549,24.512676056338027,35.07746478873239,26.57323943661972,,,,3.209039548022599
