month_and_year,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2
01 2014,1.1331983805668027,49.8552097428958,43.968876860622466,93.81190798376184,20.322537112010796,59.80484522207268,31.2328398384926,28.590847913862717,7.7354925775978405
01 2015,1.0305706521739133,41.02290076335878,35.80916030534351,76.8587786259542,20.98233695652174,56.5609756097561,32.36991869918699,24.22222222222222,6.824010914051842
01 2016,1.1731404958677683,45.07596685082873,39.74033149171271,84.78591160220995,18.467496542185337,68.18081180811808,34.90590405904059,33.25645756457565,7.265840220385675
02 2014,0.9145869947275912,36.4378478664193,43.358070500927646,79.7847866419295,31.087565674255693,62.826530612244895,29.549319727891156,33.29251700680272,6.104895104895105
02 2015,0.8766956521739124,36.28,35.23304347826087,71.50782608695653,23.11130434782609,50.49175412293853,26.587706146926536,23.887556221889056,5.883071553228621
02 2016,0.9873282442748087,32.53893129770992,42.261068702290075,74.77404580152671,27.259541984732824,69.22068965517241,31.64367816091954,37.59770114942529,17.370992366412214
03 2014,0.6816216216216211,31.633783783783784,32.59054054054054,64.21486486486486,26.971621621621622,49.47560975609756,22.144986449864497,27.296747967479675,4.879729729729729
03 2015,0.8096021947873794,27.584362139917694,31.994513031550067,59.55829903978052,23.253772290809327,42.52917232021709,24.295793758480325,18.207598371777475,4.383241758241758
03 2016,0.7974789915966378,25.201680672268907,33.331932773109244,58.52521008403362,28.238095238095237,47.85913528591353,22.128312412831242,25.73919107391911,4.840336134453781
04 2014,0.8235294117647052,29.285947712418302,34.23692810457516,63.50326797385621,32.1437908496732,47.78084415584416,24.530844155844157,23.266233766233768,5.042483660130719
04 2015,0.8902266288951849,26.222379603399432,34.888101983002834,61.11898016997167,32.77620396600567,53.800565770862804,33.54455445544554,20.263083451202263,5.907932011331445
04 2016,0.9990014265335232,32.82310984308131,36.91012838801712,69.73609129814551,33.465149359886205,61.75804195804196,30.12727272727273,31.633566433566433,6.1697574893009985
05 2014,0.6841949778434273,29.24963072378139,36.64401772525849,65.89217134416543,28.618840579710145,48.45283018867924,28.67924528301887,19.770440251572328,7.440579710144927
05 2015,0.9523415977961451,24.325966850828728,34.401933701657455,58.726519337016576,28.596418732782368,41.04938271604938,28.37997256515775,12.707818930041153,3.6349862258953167
05 2016,0.9383125864453674,22.29875518672199,36.38035961272476,58.68326417704011,40.019283746556475,54.98211829436038,31.436038514442917,23.544704264099035,4.80774550484094
06 2014,0.6035868005738878,26.336025848142164,28.064620355411954,54.40064620355412,22.707386363636363,38.86255924170616,23.804107424960506,15.06477093206951,4.870738636363637
06 2015,0.8489361702127661,20.754609929078015,33.43404255319149,54.20709219858156,24.43971631205674,43.57325746799431,28.76813655761024,14.769559032716927,6.868537666174299
06 2016,0.6978571428571418,15.45,30.34285714285714,45.787142857142854,29.855714285714285,39.79059829059829,22.764957264957264,17.048433048433047,4.871428571428571
07 2014,0.5635155096011818,24.26962962962963,28.445925925925927,52.724444444444444,22.666174298375186,37.99243570347958,21.7821482602118,16.22087745839637,4.3707533234859675
07 2015,0.8787735849056593,23.888429752066116,32.8732782369146,56.760330578512395,25.810439560439562,41.26715328467153,26.527007299270075,14.737226277372264,4.240384615384615
07 2016,0.7768136557610236,16.626062322946176,28.02974504249292,44.65155807365439,27.438920454545453,36.17937219730942,19.366218236173392,16.80866965620329,4.126506024096385
08 2014,0.4466666666666668,20.788990825688074,27.668195718654435,48.452599388379205,24.342222222222222,40.16984402079723,21.019064124783363,19.162911611785095,3.8903703703703703
08 2015,0.7864640883977915,18.735714285714284,29.874285714285715,48.61,26.83011049723757,35.211590296495956,21.919137466307276,13.31132075471698,3.8474341192787795
08 2016,0.7798780487804878,16.465447154471544,28.3739837398374,44.84756097560975,25.75653594771242,37.817934782608695,20.14673913043478,17.67391304347826,2.8434959349593494
09 2014,0.6229901269393513,23.23695345557123,25.133991537376588,48.38645980253879,20.158227848101266,,,,2.9592696629213484
09 2015,0.9063706563706561,30.828703703703702,37.40277777777778,68.21296296296296,22.99034749034749,36.90802348336595,24.25440313111546,12.653620352250488,4.87984496124031
09 2016,0.7027881040892209,18.62956204379562,27.927007299270073,46.53102189781022,20.208812260536398,43.47230320699708,19.997084548104958,23.434402332361515,3.421441774491682
10 2014,0.816565349544073,26.416413373860184,28.29179331306991,54.67933130699088,17.934650455927052,36.321027287319424,21.290529695024077,15.017656500802568,5.788753799392097
10 2015,0.9633193863319384,30.988095238095237,29.651785714285715,60.642857142857146,19.689847009735743,39.14766081871345,22.89327485380117,16.283625730994153,4.7395543175487465
10 2016,0.6267313019390578,19.125874125874127,26.01258741258741,45.148251748251745,20.35048678720445,35.950819672131146,16.403688524590162,19.559426229508198,5.178918169209432
11 2014,1.1457553956834545,42.34918276374443,38.277860326894505,80.64784546805349,18.945244956772335,50.277142857142856,29.30857142857143,20.97142857142857,8.8431654676259
11 2015,0.9445603576751123,30.21162444113264,33.742175856929954,63.92101341281669,17.865558912386707,41.44347826086957,22.504347826086956,18.882608695652173,11.470938897168406
11 2016,0.8526618705035952,32.49496402877698,31.785611510791366,64.28489208633094,16.084892086330935,52.002881844380404,25.99135446685879,25.987031700288185,7.098265895953757
12 2014,1.0696925329428968,36.319148936170215,38.790273556231,75.11398176291793,19.076023391812864,55.70926966292135,32.87640449438202,22.825842696629213,7.6988304093567255
12 2015,1.2746192893401018,42.39593908629442,42.0507614213198,84.4517766497462,19.997455470737915,65.54761904761905,32.785714285714285,32.767857142857146,12.648373983739837
12 2016,0.8822377622377626,32.595271210013905,33.55354659248957,66.18776077885953,18.99442119944212,53.79387186629526,23.789693593314762,29.967966573816156,5.995827538247566
