month_and_year,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2
01 2014,0.6905241935483871,15.988575268817204,30.338709677419356,46.318548387096776,31.134408602150536,43.66599462365591,23.611491108071135,23.14500683994528,5.725806451612903
01 2015,0.682946793997271,12.521798365122615,25.95980926430518,38.48841961852861,30.813179347826086,44.649612403100775,23.268217054263566,21.393798449612405,3.782401091405184
01 2016,0.6075757575757565,11.607648725212465,22.94759206798867,34.57507082152974,32.582644628099175,33.4013698630137,,,
02 2014,0.6317436661698955,11.699253731343283,29.169402985074626,40.873880597014924,45.05141579731744,45.575260804769,21.706870229007635,27.39389312977099,3.7574626865671643
02 2015,0.45242424242424256,11.667921686746988,23.088102409638555,34.75903614457831,30.517345399698343,39.945859872611464,20.310405643738978,22.753086419753085,3.6166666666666667
02 2016,0.5511111111111113,14.82448377581121,29.289085545722713,44.10914454277286,43.150442477876105,48.38728323699422,,,
03 2014,0.4361559139784947,9.62231182795699,20.761424731182796,30.373655913978496,34.111559139784944,38.43606998654105,16.139705882352942,25.526470588235295,3.0221774193548385
03 2015,0.5262557077625578,11.386519944979367,21.869325997248968,33.22902338376891,30.47683923705722,34.22018970189702,17.68073136427567,19.69198312236287,1.9501811594202898
03 2016,0.44525447042641064,7.873626373626373,18.559065934065934,26.442307692307693,41.13873626373626,27.3656207366985,,,
04 2014,0.5232492997198879,8.130434782608695,21.568723702664798,29.713884992987378,42.846638655462186,38.52899575671853,18.36277602523659,21.821766561514195,3.3606442577030813
04 2015,0.5413623595505618,8.110252808988765,22.162921348314608,30.281601123595507,44.19522471910113,40.458333333333336,24.054698457223,19.424964936886397,2.313642756680731
04 2016,0.6746808510638291,8.254609929078015,20.656737588652483,28.92127659574468,45.85531914893617,38.207334273624824,,,2.768901569186876
05 2014,0.6306342780026994,11.352226720647772,25.450067476383264,36.81376518218624,36.30634278002699,34.909279778393355,20.522922636103154,15.591690544412607,4.155195681511471
05 2015,0.5873297002724792,10.169398907103826,22.991803278688526,33.185109289617486,39.31403269754768,31.589864864864865,21.63677130044843,13.633781763826606,1.949591280653951
05 2016,0.5576131687242805,7.040466392318244,22.753086419753085,29.814128943758572,54.43603851444291,38.445517241379314,,,2.71875
06 2014,0.6321279554937411,11.484700973574409,19.915159944367176,31.40472878998609,29.676900584795323,24.022440392706873,16.315629742033384,11.141122913505312,2.586230876216968
06 2015,0.6014044943820225,11.030196629213483,22.798455056179776,33.833567415730336,32.20365168539326,33.579861111111114,22.117397454031117,14.36916548797737,3.162921348314607
06 2016,0.4614893617021278,7.899290780141844,21.312765957446807,29.231205673758865,39.61347517730496,25.307110438729197,,,2.1386913229018494
07 2014,0.537029569892473,12.639112903225806,20.368951612903224,33.001344086021504,28.883736559139784,24.26081081081081,15.743338008415147,11.079943899018232,2.1149193548387095
07 2015,0.5863079019073565,11.915300546448087,23.91256830601093,35.83469945355191,36.48092643051771,31.590847913862717,19.459138187221395,14.528974739970282,1.879263301500682
07 2016,0.5170781893004122,9.181755829903977,20.032235939643346,29.19615912208505,36.37928669410151,23.3551912568306,,,1.9224965706447188
08 2014,0.5242176870748305,9.458509142053446,19.10759493670886,28.561181434599156,31.465940054495913,25.117847411444142,15.061884669479607,11.985935302390999,2.628260869565217
08 2015,0.5292349726775952,7.6020558002936856,18.869309838472834,26.45814977973568,37.53551912568306,25.512820512820515,16.46096096096096,10.048048048048049,2.169366715758468
08 2016,0.5117283950617281,8.60576923076923,19.01510989010989,27.587912087912088,35.84224965706447,22.828103683492497,,,1.8189300411522633
09 2014,0.4689303904923616,8.471317829457364,18.558139534883722,27.013953488372092,23.31578947368421,21.38757396449704,12.636094674556213,8.729289940828401,1.5527831094049904
09 2015,0.5925820256776033,9.489300998573466,21.68188302425107,31.17974322396576,34.75358166189112,23.4,,,
09 2016,0.4860283687943262,5.647517730496454,16.139007092198582,21.741843971631205,29.44222539229672,23.507082152974505,,,2.6446808510638298
10 2014,0.479551630434782,10.818614130434783,19.765625,30.585597826086957,25.978940217391305,28.129896907216494,15.348453608247423,12.814432989690722,3.9001358695652173
10 2015,0.5844444444444445,13.991678224687933,19.943134535367545,33.938973647711514,29.49375866851595,27.36376021798365,,,
10 2016,0.4860497237569051,7.690707350901525,16.239251040221912,23.9126213592233,28.607340720221607,24.515235457063714,,,3.662049861495845
11 2014,0.6461103253182455,14.36916548797737,25.147100424328148,39.53536067892504,23.98661971830986,39.72222222222222,22.063271604938272,17.66358024691358,4.706338028169014
11 2015,0.7115714285714292,17.815977175463622,25.566333808844508,43.4151212553495,27.459343794579173,35.354019746121295,,,
11 2016,0.5930496453900704,13.074573863636363,23.321022727272727,36.40269886363637,21.901988636363637,30.379411764705882,,,4.053342816500711
12 2014,0.7219178082191781,13.69482288828338,27.991144414168936,41.670980926430516,26.234375,46.34051724137931,25.344827586206897,21.007183908045977,5.065217391304348
12 2015,0.7898351648351635,19.42032967032967,31.982142857142858,51.37637362637363,29.993112947658403,42.40816326530612,,,
12 2016,0.6702331961591225,12.192572214580467,23.44085281980743,35.61485557083906,26.26066024759285,33.68154761904762,,,3.721458046767538
