month_and_year,CO,NO,NO2,NOX,O3,PM10,SO2
01 2014,1.0535859269282821,41.912043301759134,41.063599458728014,82.97158322056833,22.6319350473613,49.93935309973046,7.454668470906631
01 2015,1.1906849315068497,31.799725651577504,38.06447187928669,69.87928669410151,23.528767123287672,43.38274932614555,5.67945205479452
01 2016,1.3824175824175813,39.0949105914718,37.442916093535075,76.5474552957359,21.057692307692307,43.01617250673854,6.7458791208791204
02 2014,0.954848484848485,31.434848484848484,42.36060606060606,73.76363636363637,32.377272727272725,56.13303437967115,4.793939393939394
02 2015,1.1533536585365853,29.378048780487806,36.10670731707317,65.4954268292683,25.964939024390244,41.30827067669173,5.125
02 2016,1.1451247165532892,26.78054298642534,40.699095022624434,67.4841628959276,28.29185520361991,54.61138613861386,14.330316742081449
03 2014,0.6895380434782608,23.4125,34.685,58.0725,27.918478260869566,44.17702702702703,4.466032608695652
03 2015,0.9558299039780518,20.68136557610242,29.402560455192035,50.06543385490754,26.838134430727024,32.874301675977655,3.626886145404664
03 2016,0.8812018489984587,17.531297709923663,28.42595419847328,45.987786259541984,28.5609756097561,34.46052631578947,4.090909090909091
04 2014,0.8018461538461543,25.245014245014247,34.68233618233618,59.93874643874644,34.27920227920228,43.756373937677054,3.611111111111111
04 2015,1.0163841807909622,20.52542372881356,32.90677966101695,53.409604519774014,37.26412429378531,42.32208157524613,4.7358757062146895
04 2016,0.9897250361794505,21.406657018813313,33.14616497829233,54.57308248914617,36.09117221418234,44.85310734463277,5.578871201157742
05 2014,0.9991978609625659,22.492836676217767,34.89828080229226,57.391117478510026,30.583094555873924,35.63892806770099,6.06160458452722
05 2015,1.0628965517241373,19.648275862068967,34.51724137931034,54.16551724137931,34.06068965517241,31.422708618331054,2.69811320754717
05 2016,0.9958158995815908,16.0014064697609,34.59071729957806,50.60618846694796,44.37190082644628,41.37077131258457,2.8912133891213387
06 2014,0.9442396313364066,21.082335329341316,26.523952095808383,47.619760479041915,23.88328530259366,25.59942775393419,3.6945244956772334
06 2015,0.9843803056027169,18.39352640545145,34.03577512776831,52.38671209540034,25.930084745762713,33.84719864176571,4.933786078098472
06 2016,0.8726752503576533,13.352852852852854,30.49099099099099,43.830330330330334,34.46065808297568,25.679324894514767,2.7181688125894135
07 2014,0.964383561643835,22.00958904109589,29.354794520547944,51.37671232876713,23.46153846153846,26.883468834688347,3.2904109589041095
07 2015,0.974412171507609,29.19254658385093,40.53416149068323,69.77018633540372,28.991701244813278,30.01904761904762,3.30567081604426
07 2016,0.833490566037737,14.65774647887324,27.94507042253521,42.6225352112676,29.279266572637518,23.997237569060772,3.6671368124118477
08 2014,0.929295774647888,19.107496463932108,26.93776520509194,46.02263083451202,26.84225352112676,28.50557103064067,2.4638009049773757
08 2015,0.882453637660486,13.935805991440798,28.724679029957205,42.657631954350926,30.929787234042553,26.59919028340081,2.754125412541254
08 2016,0.8150280898876396,16.293785310734464,27.4364406779661,43.73446327683616,28.376404494382022,23.58839779005525,3.808988764044944
09 2014,0.9526912181303144,21.8314447592068,25.456090651558075,47.30878186968839,20.81586402266289,22.35764375876578,1.9419263456090652
09 2015,1.0185878962536024,18.04899135446686,30.430835734870318,48.49135446685879,26.65706051873199,26.18220338983051,3.346774193548387
09 2016,0.7520119225037263,14.551263001485884,25.481426448736997,40.02080237741456,25.909361069836553,23.609649122807017,2.4384615384615387
10 2014,0.9998635743519789,23.908594815825374,29.27148703956344,53.13369713506139,22.137789904502046,26.791891891891893,4.947802197802198
10 2015,1.0204450625869266,17.081264108352144,27.742663656884876,44.82618510158014,22.89290681502086,27.559154929577463,3.599443671766342
10 2016,0.8074681238615669,17.13736263736264,25.46153846153846,42.58424908424909,24.375404530744337,23.686486486486487,3.5213946117274166
11 2014,1.103731343283582,29.83731343283582,34.88955223880597,64.73283582089552,23.241206030150753,36.749262536873154,6.683582089552239
11 2015,0.9360269360269372,26.560371517027864,33.68730650154799,60.28482972136223,19.853577371048253,35.55482815057283,8.600665557404326
11 2016,1.0595714285714288,29.22063037249284,32.222063037249285,61.429799426934096,17.957081545064376,31.522535211267606,7.625
12 2014,1.2645528455284556,32.9739837398374,40.52845528455285,73.51056910569106,22.90228013029316,45.0515625,6.173983739837398
12 2015,1.4096638655462184,36.26788218793829,39.44039270687237,75.71107994389902,22.589635854341736,50.252747252747255,8.936974789915967
12 2016,0.9959440559440568,24.925,31.269444444444446,56.21527777777778,20.958333333333332,34.51696065128901,6.434328358208956
