month_and_year,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2
01 2014,1.0350486787204445,29.180806675938804,36.8442280945758,66.00834492350486,27.401947148817804,64.41922005571031,32.73537604456825,31.707520891364904,6.814245810055866
01 2015,0.9776859504132234,25.231724137931035,33.49517241379311,58.73103448275862,24.294765840220386,59.525107604017215,30.284074605451938,29.203730272596843,5.3347107438016526
01 2016,0.9411602209944749,29.066298342541437,33.52900552486188,62.58701657458563,22.359116022099446,55.30232558139535,25.72403100775194,29.609302325581396,4.947441217150761
02 2014,1.0579425113464442,25.68532526475038,37.3963691376702,63.107413010590015,36.34341906202723,68.7526395173454,32.10859728506787,36.64555052790347,5.29803328290469
02 2015,0.8853035143769954,23.402555910543132,33.01277955271566,56.40255591054313,26.5926517571885,56.68261562998405,27.183413078149922,29.4688995215311,4.881132075471698
02 2016,0.8896296296296308,22.903846153846153,37.22189349112426,60.13609467455621,29.15828402366864,75.28279883381924,36.501457725947525,38.77405247813411,11.47337278106509
03 2014,,17.05793103448276,26.340689655172415,43.404137931034484,29.87448275862069,49.949175824175825,20.62912087912088,29.315934065934066,3.004137931034483
03 2015,0.6943370165745867,15.09504132231405,25.088154269972453,40.176308539944905,28.292181069958847,42.12275862068965,20.878620689655172,21.249655172413792,2.9302325581395348
03 2016,0.6950704225352112,13.988732394366197,26.088732394366197,40.04507042253521,27.743338008415147,44.15796897038082,22.0098730606488,22.14950634696756,2.2267605633802816
04 2014,0.669736842105264,17.439093484419264,30.478753541076486,47.905099150141645,36.98583569405099,53.21974522292994,25.461783439490446,27.722929936305732,2.492917847025496
04 2015,0.7952924393723241,14.114122681883025,28.359486447931527,42.450784593437945,37.41226818830243,53.18335684062059,29.37940761636107,23.799717912552893,3.5349500713266764
04 2016,0.756695652173913,14.42560553633218,29.311418685121108,43.76989619377163,26.76911076443058,55.068592057761734,27.359205776173287,27.72563176895307,3.106086956521739
05 2014,0.6426061493411419,14.337738619676946,30.38913362701909,44.72687224669603,34.561933534743204,42.217125382263,25.698776758409785,16.515290519877677,4.886328725038402
05 2015,0.7803009575923392,14.580027359781122,29.662106703146375,44.25581395348837,35.13406292749658,42.0253164556962,26.78199718706048,15.218002812939522,2.3734610123119015
05 2016,0.7864179104477603,11.591549295774648,32.65774647887324,44.26338028169014,30.804775280898877,53.682857142857145,32.714285714285715,20.98857142857143,2.6474719101123596
06 2014,0.5800285306704708,17.30527817403709,23.465049928673324,40.74750356633381,24.25962910128388,32.18483412322275,20.537124802527646,11.627172195892575,3.094151212553495
06 2015,0.7606837606837595,12.833095577746077,26.995720399429388,39.80884450784593,30.11145038167939,40.9382889200561,24.277699859747546,16.633941093969145,4.272030651340996
06 2016,0.6808297567954215,11.529327610872675,27.120171673819744,38.645207439198856,30.725880551301685,35.2919605077574,21.41607898448519,13.85049365303244,2.559370529327611
07 2014,0.7170081967213114,17.511049723756905,25.83839779005525,43.33425414364641,23.958620689655174,33.72841225626741,19.9958217270195,13.725626740947074,2.9931034482758623
07 2015,0.8315352697095421,17.874135546334717,28.567081604426004,46.44951590594744,30.146611341632088,40.10014104372355,23.052186177715093,17.03808180535966,2.9861687413554634
07 2016,0.5962566844919784,11.307692307692308,24.564685314685313,35.91083916083916,30.293548387096774,33.80623306233063,19.008130081300813,14.78048780487805,2.8374125874125875
08 2014,0.6976584022038566,15.977715877437326,24.488857938718663,40.46100278551532,27.53655172413793,34.16920943134535,19.122052704576976,15.03883495145631,2.763085399449036
08 2015,0.6623839009287924,12.528591352859136,24.84379358437936,37.37099023709902,31.454672245467226,34.64801864801865,20.466200466200466,14.177156177156178,3.221757322175732
08 2016,0.6509463722397469,12.55081001472754,25.21060382916053,37.768777614138436,28.570224719101123,35.111111111111114,17.04040404040404,18.09090909090909,2.8088467614533967
09 2014,0.7391242937853103,18.988652482269504,22.50212765957447,41.53049645390071,21.29943502824859,29.351791530944624,17.384364820846905,11.957654723127035,1.67090395480226
09 2015,0.8170243204577956,17.34567901234568,29.403292181069958,46.70781893004115,27.2689556509299,36.096632503660324,22.961932650073205,13.136163982430453,3.340974212034384
09 2016,0.578335724533717,13.682471264367816,23.35919540229885,37.020114942528735,26.299856527977045,,,,2.3001443001443
10 2014,0.7441416893732966,19.438186813186814,26.72664835164835,46.18543956043956,21.529972752043598,41.452922077922075,23.771103896103895,17.6737012987013,4.046321525885559
10 2015,0.6527045769764211,16.112656467315716,26.04450625869263,42.13769123783032,23.529819694868237,37.176978417266184,20.153956834532373,16.989928057553957,2.9174917491749173
10 2016,0.4965014577259474,14.79093567251462,23.92105263157895,38.67690058479532,27.444771723122237,,,,2.9153284671532846
11 2014,0.8206599713055955,21.51219512195122,30.314203730272595,51.83500717360115,23.040172166427546,52.02457757296467,27.678955453149,24.321044546851,5.245337159253945
11 2015,0.8402017291066278,21.207492795389047,28.43227665706052,49.642651296829975,21.13074712643678,49.81348637015782,27.493543758967,22.317073170731707,6.3701923076923075
11 2016,0.7501552795031052,26.764705882352942,32.00754147812972,58.749622926093515,20.425113464447808,,,,4.161403508771929
12 2014,0.9141496598639453,24.17622950819672,34.05054644808743,58.200819672131146,23.155102040816328,60.46334716459198,31.925311203319502,28.526970954356848,4.552380952380952
12 2015,1.0600276625172889,27.145027624309392,36.3743093922652,63.52209944751381,23.523480662983424,66.61768707482993,37.66530612244898,28.92517006802721,6.975138121546961
12 2016,0.7677272727272725,22.577335375191424,29.509954058192957,52.13169984686064,23.8419452887538,,,,5.172782874617737
