month_and_year,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2
01 2015,0.9161422708618344,39.82876712328767,34.323287671232876,74.15342465753425,22.425444596443228,45.613297150610585,28.41248303934871,17.19810040705563,4.203830369357045
01 2016,0.9359116022099445,37.76699029126213,37.24271844660194,74.98474341192788,20.36049723756906,41.21786197564276,25.814614343707714,15.428958051420839,5.69475138121547
02 2015,0.7702743902439017,36.4357034795764,31.957639939485627,68.4054462934947,23.09502262443439,38.78378378378378,22.48048048048048,16.294294294294293,3.484162895927602
02 2016,0.8056213017751483,32.323008849557525,39.84808259587021,72.20206489675516,31.235988200589972,51.567055393586,30.791545189504372,20.78717201166181,13.84660766961652
03 2015,0.6906204906204914,25.680575539568345,26.840287769784172,52.510791366906474,22.673381294964027,34.03802816901408,20.116901408450705,13.902816901408451,2.223021582733813
03 2016,0.5777777777777781,22.252777777777776,30.3125,52.56527777777778,29.745833333333334,31.514522821576765,19.244813278008298,12.279391424619641,3.5027777777777778
04 2015,0.7246223564954678,22.682779456193355,28.429003021148038,51.12235649546828,35.57250755287009,41.418429003021146,26.561933534743204,14.873111782477341,3.2447129909365557
04 2016,0.7686956521739117,27.225071225071225,33.51851851851852,60.74928774928775,35.1025641025641,43.33519553072626,26.872905027932962,16.487430167597765,4.2407407407407405
05 2015,0.744175824175825,22.925,28.713636363636365,51.654545454545456,29.462709284627092,33.40695915279879,23.909228441754916,9.488653555219365,1.8070987654320987
05 2016,0.6732962447844232,22.582295988934995,33.66943291839557,56.232365145228215,42.02888583218707,41.8581173260573,30.40518417462483,11.448840381991815,3.3817427385892116
06 2015,0.72992700729927,17.21153846153846,27.84171597633136,45.05029585798817,25.70948905109489,35.28445747800586,24.102639296187682,11.18475073313783,3.843795620437956
06 2016,0.5785000000000006,17.37,28.971666666666668,46.34,31.363036303630363,30.36728837876614,22.275466284074607,8.088952654232425,3.2975206611570247
07 2015,0.7493810178817039,22.349381017881704,27.521320495185694,49.88445667125172,29.19532324621733,33.6945205479452,21.76986301369863,11.91095890410959,2.1513067400275103
07 2016,0.7630952380952384,21.001488095238095,27.254464285714285,48.257440476190474,29.333808844507846,28.484353741496598,19.408163265306122,9.06938775510204,3.0118694362017804
08 2015,0.6254143646408834,15.03448275862069,26.05793103448276,41.132413793103446,30.135172413793104,28.154371584699454,18.224043715846996,9.922131147540984,2.4648275862068965
08 2016,0.7807479224376735,18.092669432918395,26.968188105117566,45.0387275242047,27.806362378976488,25.40573770491803,17.095628415300546,8.297814207650273,3.34716459197787
09 2015,0.7467766116941528,20.609865470852018,27.805680119581464,48.42002989536622,25.73873873873874,29.99710564399421,20.958031837916064,9.039073806078148,2.901492537313433
09 2016,0.704310344827587,15.753581661891117,23.69484240687679,39.45272206303725,23.00570613409415,24.387412587412587,15.702097902097902,8.695104895104896,3.1255349500713265
10 2015,0.7642960812772136,28.492017416545718,27.58490566037736,56.0711175616836,20.70639534883721,31.200561009817672,19.4109396914446,11.776998597475457,3.2714078374455733
10 2016,0.7024999999999993,19.229805013927578,24.295264623955433,43.51810584958217,22.45138888888889,24.14363143631436,14.055555555555555,10.058265582655826,4.135097493036212
11 2015,0.8895565092989977,35.7,32.13,67.82,19.464285714285715,38.183216783216785,25.655944055944055,12.544055944055945,9.09
11 2016,0.904978662873402,29.636604774535808,28.482758620689655,58.11405835543766,17.699280575539568,34.139633286318755,23.12976022566996,11.019746121297603,4.972934472934473
12 2015,1.1795366795366802,54.387478849407785,42.73773265651438,97.082910321489,19.908783783783782,54.74333333333333,36.876666666666665,17.876666666666665,9.282094594594595
12 2016,0.9316155988857938,38.002881844380404,30.131123919308358,68.14697406340058,21.258790436005626,34.13161465400271,20.860244233378562,13.274084124830393,4.992997198879552
