month_and_year,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2
01 2014,1.2692517006802726,22.719086021505376,29.25201612903226,51.96639784946237,27.341032608695652,49.16256830601093,,,5.221774193548387
01 2015,0.848387096774193,14.239471326164878,24.14516129032257,38.387320788530495,30.911178315412187,42.16847826086956,24.291743119266055,17.902752293577983,2.9836469534050267
01 2016,0.6248962655601664,6.510402219140083,19.973647711511788,26.50485436893204,35.117283950617285,36.64669738863287,16.729054054054053,16.0752688172043,3.5172890733056708
02 2014,0.9669669669669676,15.781437125748504,29.55314371257485,45.337574850299404,41.592065868263475,53.75762439807384,,,2.9266467065868262
02 2015,0.8313244047619042,13.991815476190473,24.160962301587308,38.16840277777778,33.81510416666668,39.889387144992526,19.073333333333334,16.91,2.930059523809523
02 2016,0.6462444771723114,6.95007342143906,25.42437591776799,32.33480176211454,43.87518355359765,51.213872832369944,25.669797687861273,25.40173410404624,10.052863436123348
03 2014,0.9077253218884125,14.69313593539704,20.28398384925976,34.98048452220727,33.98654104979811,43.753246753246756,,,2.863391655450875
03 2015,0.5735733695652179,6.186703096539163,16.472222222222225,22.678506375227684,31.14572132616486,29.749326145552562,15.345509893455098,11.884322678843226,1.453729281767956
03 2016,0.4935205183585339,4.099547511312217,15.552036199095022,19.67269984917044,41.71844660194175,30.30531732418525,16.964777947932618,12.864493996569468,2.4705882352941178
04 2014,0.9536170212765959,14.314425770308123,24.076330532212886,38.38095238095238,39.85314685314685,45.89816700610998,,,2.983216783216783
04 2015,0.5646879756468802,3.923780487804878,16.64329268292683,20.615853658536587,44.53738425925926,39.739583333333336,23.28787878787879,14.606060606060606,1.9635258358662615
04 2016,0.6450142450142468,4.01994301994302,15.43019943019943,19.455840455840455,47.297872340425535,39.338935574229694,21.224305555555556,17.915966386554622,3.3475783475783474
05 2014,0.8343835616438356,14.256393001345895,25.9650067294751,40.226110363391655,37.3257065948856,34.46524822695036,,,2.45873786407767
05 2015,0.5786053882725835,4.2699680511182105,17.31150159744409,21.60702875399361,42.510073260073234,28.88409703504043,19.51658767772512,8.92733017377567,1.3597464342313788
05 2016,0.7457814661134161,3.4744121715076073,17.27939142461964,20.76625172890733,56.64876033057851,38.81029810298103,25.733783783783785,12.279132791327914,2.5255878284923927
06 2014,0.971669004207573,14.828472222222222,20.402083333333334,35.22083333333333,28.13888888888889,24.47457627118644,,,2.611731843575419
06 2015,0.6636363636363632,6.532231404958678,20.352066115702478,26.917355371900825,35.764747191011224,32.95396600566572,22.3321554770318,10.510600706713781,2.728476821192053
06 2016,0.6345170454545469,3.6711409395973154,16.12751677852349,19.823825503355703,41.621562952243124,24.8993006993007,15.70979020979021,7.604195804195804,2.052364864864865
07 2014,0.8358320839580207,13.258783783783784,19.931081081081082,33.1972972972973,28.333108108108107,23.026101141924958,,,1.9959459459459459
07 2015,0.582965299684542,4.7221374045801525,16.858015267175574,21.62290076335878,41.66009070294784,28.66114457831325,18.275602409638555,10.387048192771084,1.458966565349544
07 2016,0.43917851500789906,4.308437067773167,16.3969571230982,20.691562932226834,39.109739368998625,23.284552845528456,13.338037634408602,8.796747967479675,2.1246537396121883
08 2014,1.0624413145539906,13.547260273972602,19.734246575342464,33.295890410958904,30.099726775956285,23.32744783306581,,,2.430821917808219
08 2015,0.5330965909090902,4.204545454545454,16.561079545454547,20.803977272727273,40.92886178861789,24.699319727891158,16.229931972789117,8.453061224489796,1.9318181818181819
08 2016,0.5559274755927475,4.654008438818566,16.59634317862166,21.261603375527425,39.09409340659341,22.855978260869566,13.677658142664873,8.0,1.976356050069541
09 2014,0.8502793296089396,14.978472222222223,18.70138888888889,33.67986111111111,23.61338028169014,18.03076923076923,,,1.7416666666666667
09 2015,0.6485465116279067,5.63901018922853,19.213973799126638,24.848617176128094,35.50851063829787,25.424501424501425,18.225071225071225,7.216524216524217,2.082608695652174
09 2016,0.543791946308726,5.415064102564102,18.16826923076923,23.59294871794872,34.45,23.53155680224404,13.804166666666667,8.884992987377279,2.0
10 2014,1.1092675635276525,15.682795698924732,21.690188172043012,37.37231182795699,26.3544474393531,24.754662840746054,,,3.299731182795699
10 2015,0.7120464441219154,7.193033381712627,19.02177068214804,26.220609579100145,30.414878397711014,27.87742899850523,16.84304932735426,11.064275037369208,3.114658925979681
10 2016,0.38428571428571573,5.23132183908046,19.057471264367816,24.291666666666668,31.9378453038674,24.016460905349795,12.742587601078167,11.108367626886146,2.2877906976744184
11 2014,1.0388418079096051,18.252777777777776,24.85902777777778,43.102777777777774,24.752083333333335,38.80033277870216,,,3.697075208913649
11 2015,0.6674208144796383,7.472779369627507,21.083094555873924,28.527220630372494,29.280851063829786,33.4130081300813,18.630098452883264,12.970731707317073,7.635057471264368
11 2016,0.49927536231884084,7.6927536231884055,22.479710144927537,30.166666666666668,26.16122159090909,30.536621823617338,18.409348441926344,9.614349775784753,3.824127906976744
12 2014,1.1688435374149668,19.25739247311828,27.004704301075268,46.26747311827957,25.493951612903224,48.16811594202898,,,3.7311827956989245
12 2015,0.7151178918169191,7.774238227146815,24.282548476454295,32.05817174515236,32.554183813443075,44.08062015503876,23.458672086720867,16.987596899224805,8.202758620689655
12 2016,0.5358831710709314,5.126388888888889,19.255555555555556,24.383333333333333,31.039202200825308,33.86435331230284,16.314111261872455,15.610410094637224,3.879166666666667
