month_and_year,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2
01 2014,1.1731854838709672,52.878434065934066,39.32898351648352,92.17445054945055,21.786962365591396,66.625,29.29233870967742,33.78360215053763,6.989247311827957
01 2015,0.9887755102040815,37.037465940054496,35.038147138964575,72.0708446866485,22.041496598639455,63.35419630156472,27.793877551020408,31.7724039829303,5.610884353741497
01 2016,1.2024216524216527,49.625172890733054,39.839557399723375,89.47579529737206,17.001383125864454,64.88771186440678,30.72669491525424,34.16525423728814,7.789764868603043
02 2014,1.048214285714285,42.88764880952381,41.09672619047619,84.01116071428571,31.816220238095237,74.32631578947368,29.932190760059612,42.27368421052632,5.2336309523809526
02 2015,0.9841114457831333,37.14716312056738,32.13475177304964,69.28900709219859,23.499246987951807,52.60030864197531,23.851492537313433,25.41820987654321,5.184487951807229
02 2016,1.0062271062271064,34.517189835575486,43.32286995515695,77.85799701046338,24.902840059790734,83.2128935532234,39.29535232383808,43.88905547226387,16.249626307922274
03 2014,0.8069220430107522,36.05040322580645,30.83467741935484,66.87768817204301,26.736559139784948,58.11261872455902,20.690700808625337,35.82903663500679,4.264784946236559
03 2015,0.774046321525885,29.466192170818506,33.480427046263344,62.87188612099644,25.330381471389646,42.45404663923183,19.74158815612382,19.53497942386831,3.5470027247956404
03 2016,0.8424060150375943,26.998496240601504,33.80902255639098,60.83609022556391,24.936459909228443,50.58103975535168,24.29051987767584,26.285932721712538,4.995488721804511
04 2014,0.8800291545189498,31.980309423347396,34.470464135021096,66.47327707454289,34.093530239099856,59.41242937853107,23.47902097902098,33.53389830508475,4.106891701828411
04 2015,0.8219803370786513,26.541432584269664,34.99297752808989,61.51966292134831,34.76123595505618,55.10473457675753,28.386111111111113,24.001434720229554,4.72191011235955
04 2016,1.1117063492063506,33.660714285714285,38.04960317460318,71.70436507936508,30.015384615384615,66.72357723577235,33.43577235772358,33.28780487804878,7.685714285714286
05 2014,0.9163806552262096,27.09271978021978,36.4532967032967,63.54601648351648,30.237092391304348,52.01162790697674,24.45460704607046,24.135174418604652,6.470108695652174
05 2015,0.9049727520435961,25.37534059945504,34.94346049046322,60.31880108991825,31.55449591280654,44.38206896551724,24.553091397849464,16.201379310344826,2.82425068119891
05 2016,0.9828690807799446,21.925207756232687,39.551246537396125,61.46675900277008,38.89088397790055,61.74362818590705,36.62818590704648,25.124437781109446,4.07192254495159
06 2014,0.8443732193732199,21.981560283687944,25.901418439716313,47.90638297872341,22.106382978723403,37.96590909090909,18.64031339031339,15.806818181818182,3.602836879432624
06 2015,0.7284410112359541,17.621488764044944,31.156601123595507,48.78651685393258,26.712078651685392,44.807299270072996,23.639082058414466,17.1007299270073,4.860252808988764
06 2016,0.8295035460992899,17.313218390804597,32.12859195402299,49.42456896551724,29.626950354609928,40.46312684365782,23.750737463126843,16.70501474926254,3.002836879432624
07 2014,0.9144628099173558,23.954948301329395,28.138109305760707,52.09675036927622,22.049723756906076,36.91545189504373,17.55923344947735,16.049562682215743,3.0792011019283745
