month_and_year,CO,NO,NO2,NOX,O3,PM10,SO2
01 2014,0.8102678571428573,12.530898876404494,24.33005617977528,36.85112359550562,31.284299858557283,54.19575113808801,3.8153846153846156
01 2015,0.504428571428572,9.884285714285713,22.43857142857143,32.3,28.232857142857142,49.040518638573744,3.3080229226361033
01 2016,,,,,,44.986376021798364,
02 2014,0.7061068702290071,9.938931297709924,22.690076335877862,32.619847328244276,43.39083969465649,61.74432677760968,2.0122249388753057
02 2015,0.4617246596066573,9.774390243902438,21.611280487804876,31.399390243902438,32.779122541603634,49.80762564991335,3.403030303030303
02 2016,,,,,,66.64880952380952,
03 2014,0.5961057023643954,8.144645340751044,14.229485396383867,22.357440890125172,34.60361613351878,50.61144578313253,1.7941585535465925
03 2015,0.3807313642756671,5.860529986052999,14.723849372384937,20.587168758716874,31.10181311018131,33.087392550143264,2.5237388724035608
03 2016,0.3422784810126572,,,,34.123425692695214,35.38714499252616,1.759493670886076
04 2014,0.5259574468085113,7.530496453900709,16.804255319148936,24.33758865248227,41.262411347517734,51.19849624060151,
04 2015,0.3681818181818167,4.89031339031339,14.398860398860398,19.336182336182336,43.04403409090909,43.87055476529161,2.3381712626995648
04 2016,0.41173104434906904,6.8657407407407405,15.24074074074074,22.14814814814815,42.212857142857146,55.24466571834993,2.4685714285714284
05 2014,0.5292576419213975,6.925207756232687,17.645429362880886,24.594182825484765,38.41412742382271,39.86470588235294,2.126637554585153
05 2015,0.39569377990430626,5.28680981595092,15.309815950920246,20.618098159509202,40.894171779141104,27.745814307458144,1.836092715231788
05 2016,0.582033426183844,4.741071428571429,17.555059523809526,22.290178571428573,49.75938803894298,48.105740181268885,2.1573816155988856
06 2014,0.6210526315789467,5.2556732223903175,13.85930408472012,19.133131618759457,27.172465960665658,25.672131147540984,2.035031847133758
06 2015,0.35752840909090816,5.034090909090909,15.220170454545455,20.223011363636363,33.465714285714284,29.81714285714286,2.6661931818181817
06 2016,0.41381872213967275,4.853801169590644,15.527777777777779,20.273391812865498,43.46496815286624,25.275811209439528,2.2055267702936097
07 2014,0.651944444444444,7.495145631067961,14.669902912621358,22.171983356449378,32.8442280945758,24.629682997118156,1.8557558945908461
07 2015,0.3765778401122014,4.88623595505618,16.334269662921347,21.22612359550562,33.98041958041958,33.278014184397165,2.3532258064516127
07 2016,0.3529737206085755,4.558945908460472,14.712898751733704,19.22884882108183,34.33109619686801,24.447988904299585,1.6599552572706935
08 2014,0.6541007194244601,7.433751743375175,14.98744769874477,22.449093444909344,35.10724233983287,29.125739644970412,2.0641562064156207
08 2015,0.36132075471698066,5.380503144654088,15.988993710691824,21.361635220125788,36.551886792452834,29.00657894736842,2.34748427672956
08 2016,0.2976056338028162,5.266197183098591,15.301408450704225,20.56056338028169,32.48101265822785,27.499136442141623,2.0985915492957745
09 2014,0.73695652173913,7.675304878048781,14.464939024390244,22.158536585365855,29.110778443113773,20.836805555555557,1.68955223880597
09 2015,,,,,,,
09 2016,0.3171052631578948,5.939244663382595,16.223316912972084,22.098522167487683,27.43606557377049,27.173541963015648,1.6704918032786886
10 2014,0.4292803970223327,8.751861042183624,19.92803970223325,28.65260545905707,28.68312757201646,28.198170731707318,2.9711538461538463
10 2015,,,,,,,
10 2016,0.3689415041782729,6.78041958041958,18.13986013986014,24.893706293706295,29.21927374301676,31.459537572254334,1.4740532959326789
11 2014,0.43892908827785826,9.157742402315485,20.198263386396526,29.357452966714906,28.756521739130434,38.15299684542587,3.4500723589001447
11 2015,,,,,,,
11 2016,0.4786324786324778,8.925287356321839,22.461206896551722,31.360632183908045,23.916786226685797,35.20647773279352,2.7788873038516404
12 2014,0.4658904109589047,8.912328767123288,21.756164383561643,30.67945205479452,28.26164383561644,51.24763406940063,2.7206085753803597
12 2015,,,,,,53.10761589403973,
12 2016,0.46888888888888874,8.284122562674094,19.430362116991642,27.694986072423397,26.87308228730823,41.45606694560669,2.3769100169779285
