date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL,O3_OBREGON,PM10_OBREGON,O3_AZCAPOTZALCO,PM10_AZCAPOTZALCO,O3_BENITOJUAREZ,PM10_BENITOJUAREZ,O3_COYOACAN,PM10_COYOACAN,O3_CUAJIMALPA,PM10_CUAJIMALPA,O3_CUAUHTEMOC,PM10_CUAUHTEMOC,O3_IZTACALCO,PM10_IZTACALCO,O3_IZTAPALAPA,PM10_IZTAPALAPA,O3_MIGUELHIDALGO,PM10_MIGUELHIDALGO,O3_MILPAALTA,PM10_MILPAALTA,O3_TLALPAN,PM10_TLALPAN,O3_VENUSTIANO,PM10_VENUSTIANO,O3_XOCHIMILCO,PM10_XOCHIMILCO,O3_TOTAL_avg,PM10_TOTAL_avg
25/12/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1476878,,,,,,0.011212456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2011,0.8000192,,8.746479542,0.07381419,2.395691588,,2.958195764,,1.003895113,,8.825412682,,6.183033242,0.025365516,10.75962987,,2.626010193,,2.460165815,0.121112159,10.15259069,0.081049394,5.800169655,,8.849728839,0.081687311,5.464448593,,10.29810679,0.069132033,3.125503386,,5.12409217,0.000125719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/2011,2.666730668,,9.246278373,0.036907095,1.437414953,,2.465163136,0.048543269,1.50584267,,10.13983585,,5.06665224,,10.50344821,,2.735427285,,0.410027636,,9.329407665,,5.800169655,,5.254526498,0.040843656,6.498263191,,9.361915261,,5.770160098,,5.101667258,0.057453655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/12/2011,1.866711468,0.039384359,7.996781296,0.036907095,0.958276635,,2.136474718,0.024271635,,,12.76868218,,5.667780471,0.012682758,9.478721551,,3.008970013,0.016159569,,,9.603802008,0.040524697,7.250212069,,4.424864419,,6.350575392,,9.830011024,0.034566017,2.644656712,,5.000755159,0.057202217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/12/2011,0.4000096,,8.996378957,0.07381419,0.718707476,,3.6155726,0.024271635,,,9.200962158,,6.354784165,0.012682758,8.197813233,0.075669812,2.79013583,0.008079785,3.280221087,,7.95743595,,5.075148448,,4.701418446,0.040843656,5.464448593,,11.23429831,0.034566017,,,4.664381493,0.056070745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/12/2011,0.4000096,,12.49497077,0.036907095,0.479138318,,3.122539973,0.048543269,0.501947557,,5.257692662,,5.410154086,0.025365516,11.52817486,,3.337221287,0.008079785,0.820055272,,6.859858577,,7.250212069,,4.424864419,0.081687311,4.578321794,0.043623372,7.489532208,,,,4.350432739,0.05229917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2011,0.133336533,,9.496177788,0.036907095,1.437414953,,,,,,7.886538992,,2.576263851,0.012682758,3.330361626,,1.531839279,0.016159569,1.230082908,,2.469549088,,6.525190862,,1.382770131,,3.839882795,0.021811686,2.340478815,0.069132033,,,2.466740213,0.048779034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2012,,,11.49537311,0.036907095,2.156122429,,,,,,5.069917924,,2.748014774,0.012682758,12.29671985,,2.078924736,0.008079785,0.410027636,,2.469549088,,7.250212069,0.214153574,0.553108052,,6.055199792,0.021811686,8.659771616,,,,3.363736654,0.027658215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2012,0.933355734,,14.99396493,0.07381419,0.718707476,,2.136474718,0.024271635,0.501947557,,9.764286371,,5.06665224,0.012682758,7.94163157,0.037834906,3.446638379,,2.870193451,,8.780618979,,7.250212069,,2.765540262,,3.544507195,,7.957627972,,,,4.552256938,0.037715748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2012,1.200028801,,13.74446785,0.036907095,0.958276635,,2.958195764,0.024271635,0.501947557,,9.576511634,,3.778520314,0.025365516,9.991084878,,2.79013583,,3.280221087,,8.231830293,0.040524697,3.625106034,0.107076787,4.148310393,0.040843656,4.135258395,,7.72358009,0.034566017,,,4.384070106,0.051041978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2012,1.333365334,,7.74688188,0.036907095,1.676984112,,2.136474718,0.024271635,1.50584267,,13.33200639,0.055464076,5.753655933,0.012682758,3.842724953,,3.008970013,,2.460165815,,8.231830293,0.081049394,9.425275689,0.107076787,6.360742603,0.040843656,5.612136393,0.043623372,9.830011024,0.034566017,,,4.754081138,0.049156191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2012,1.200028801,,12.74487019,0.036907095,2.156122429,,1.8077863,0.048543269,,,6.008791613,,4.637274931,,8.71017656,,2.352467465,0.008079785,2.460165815,,4.939098176,0.040524697,2.900084827,,3.595202341,0.040843656,4.430633994,0.021811686,5.851197038,0.034566017,,,3.801022419,0.053304923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2012,0.8000192,,10.24587603,0.07381419,0.718707476,,3.6155726,0.024271635,0.501947557,,8.262088468,,3.091516621,0.012682758,11.78435652,,2.899552922,,2.460165815,,8.231830293,,5.075148448,,5.80763455,0.081687311,3.544507195,,6.085244919,,,,4.103758718,0.042618795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/2012,1.333365334,,12.24507136,0.036907095,1.197845794,,3.6155726,0.024271635,,,12.76868218,,8.329919784,0.012682758,14.34617316,,4.157849473,0.008079785,0.410027636,,5.213492519,,6.525190862,,3.042094288,,7.38438999,,5.851197038,,,,5.583802846,0.046013212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
